Rekeningnummer;Rubrieknaam;Naam;Munt;Afschriftnummer;Datum;Omschrijving;Valuta;Bedrag;Saldo;Credit;Debet;Rekening tegenpartij;BIC code tegenpartij;Naam tegenpartij;Adres tegenpartij;gestructureerde mededeling;vrije mededeling
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026061;05/06/2026;"EUROPESE DOMICILIERING VAN TELENET BV SCHULDEISER: BE12 3456 7890 1234 REF. 012345678";05/06/2026;-62,50;9937,50;;62,50;BE12 3456 7890 1234;KREDBEBB;TELENET BV;Liersesteenweg 4 2800 Mechelen;;klantnummer 0123456
BE68 5390 0754 7034;Overschrijving;MILE TIELENS;EUR;2026061;09/06/2026;"OVERSCHRIJVING VAN ACME CONSULTING NV";09/06/2026;3025,00;12962,50;3025,00;;BE23 4567 8901 2345;GEBABEBB;ACME CONSULTING NV;Kunstlaan 1 1000 Brussel;;factuur 2026-018
BE68 5390 0754 7034;Kaartbetaling;MILE TIELENS;EUR;2026061;12/06/2026;"BETALING VIA BANCONTACT 12-06-2026 OM 12.31 UUR DELHAIZE JAMBES MET KAART 6703 12XX XXXX 1234 5";12/06/2026;-18,40;12944,10;;18,40;;;;;;
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026061;15/06/2026;"EUROPESE DOMICILIERING VAN LIANTIS VZW SOCIALE BIJDRAGEN KW2";15/06/2026;-387,25;12556,85;;387,25;BE45 6789 0123 4567;KREDBEBB;LIANTIS VZW;Willebroekkaai 37 1000 Brussel;+++123/4567/89012+++;
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026061;20/06/2026;"EUROPESE DOMICILIERING VAN DKV BELGIUM NV POLIS 987654";20/06/2026;-145,00;12411,85;;145,00;BE49 8765 4321 0987;BBRUBEBB;DKV BELGIUM NV;Loksumstraat 25 1000 Brussel;+++987/6543/21098+++;
BE68 5390 0754 7034;Overschrijving;MILE TIELENS;EUR;2026061;22/06/2026;"OVERSCHRIJVING NAAR BE77 9876 5432 1098";22/06/2026;-1500,00;10911,85;;1500,00;BE77 9876 5432 1098;KREDBEBB;TIELENS MILE;Dorpsstraat 12 3000 Leuven;;loon juni
BE68 5390 0754 7034;Kaartbetaling;MILE TIELENS;EUR;2026061;28/06/2026;"BETALING VIA DEBIT MASTERCARD 28-06-2026 OM 08.02 UUR DATS 24 BE9000 GENT MET APPLE PAY";28/06/2026;-64,30;10847,55;;64,30;;;;;;
BE68 5390 0754 7034;Overschrijving;MILE TIELENS;EUR;2026071;01/07/2026;"OVERSCHRIJVING NAAR BE10 1234 5678 9012; MEDEDELING: ""HONORARIUM; ADVIES""
DOSSIER 2026/456";01/07/2026;-250,00;10597,55;;250,00;BE10 1234 5678 9012;GEBABEBB;ADVOCATENKANTOOR PEETERS & CO;Rue de l'Église 5 1000 Bruxelles;;dossier 2026/456
BE68 5390 0754 7034;Overschrijving;MILE TIELENS;EUR;2026071;03/07/2026;"OVERSCHRIJVING NAAR BTW-ONTVANGSTEN BRUSSEL AANGIFTE KW2 2026";03/07/2026;-2170,00;8427,55;;2170,00;BE30 6792 0000 0446;PCHQBEBB;BTW-ONTVANGSTEN BRUSSEL;Kruidtuinlaan 50 1000 Brussel;+++290/0523/61712+++;
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026071;05/07/2026;"EUROPESE DOMICILIERING VAN TELENET BV SCHULDEISER: BE12 3456 7890 1234 REF. 012345679";05/07/2026;-62,50;8365,05;;62,50;BE12 3456 7890 1234;KREDBEBB;TELENET BV;Liersesteenweg 4 2800 Mechelen;;klantnummer 0123456
BE68 5390 0754 7034;Overschrijving;MILE TIELENS;EUR;2026071;07/07/2026;"OVERSCHRIJVING VAN IMMO VERHAEGHE BV";07/07/2026;484,00;8849,05;484,00;;BE88 1234 9876 5432;KREDBEBB;IMMO VERHAEGHE BV;Bondgenotenlaan 100 3000 Leuven;;EPC woning Leuven
BE68 5390 0754 7034;Kaartbetaling;MILE TIELENS;EUR;2026071;10/07/2026;"BETALING VIA DEBIT MASTERCARD 10-07-2026 OM 09.15 UUR ANTHROPIC BE1000 BRUSSEL MET KAART 5127 04XX XXXX 9876";10/07/2026;-21,78;8827,27;;21,78;;;;;;
BE68 5390 0754 7034;Kaartbetaling;MILE TIELENS;EUR;2026071;13/07/2026;"BETALING VIA DEBIT MASTERCARD 13-07-2026 OM 13.14 UUR LE MIRANTE BE1000 BRUXELLES MET APPLE PAY";13/07/2026;-45,50;8781,77;;45,50;;;;;;
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026071;15/07/2026;"EUROPESE DOMICILIERING VAN LIANTIS VZW SOCIALE BIJDRAGEN KW3";15/07/2026;-387,25;8394,52;;387,25;BE45 6789 0123 4567;KREDBEBB;LIANTIS VZW;Willebroekkaai 37 1000 Brussel;+++123/4567/89013+++;
BE68 5390 0754 7034;Kaartbetaling;MILE TIELENS;EUR;2026071;18/07/2026;"BETALING VIA BANCONTACT 18-07-2026 OM 07.45 UUR NMBS MECHELEN MET KAART 6703 12XX XXXX 1234 5";18/07/2026;-24,60;8369,92;;24,60;;;;;;
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026071;20/07/2026;"EUROPESE DOMICILIERING VAN DKV BELGIUM NV POLIS 987654";20/07/2026;-145,00;8224,92;;145,00;BE49 8765 4321 0987;BBRUBEBB;DKV BELGIUM NV;Loksumstraat 25 1000 Brussel;+++987/6543/21099+++;
BE68 5390 0754 7034;Overschrijving;MILE TIELENS;EUR;2026071;22/07/2026;"OVERSCHRIJVING NAAR BE77 9876 5432 1098";22/07/2026;-1500,00;6724,92;;1500,00;BE77 9876 5432 1098;KREDBEBB;TIELENS MILE;Dorpsstraat 12 3000 Leuven;;loon juli
BE68 5390 0754 7034;Diverse;MILE TIELENS;EUR;2026071;25/07/2026;"AANREKENING KBC-PLUSREKENING JULI 2026";25/07/2026;-7,50;6717,42;;7,50;;;;;;
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026081;05/08/2026;"EUROPESE DOMICILIERING VAN TELENET BV SCHULDEISER: BE12 3456 7890 1234 REF. 012345680";05/08/2026;-62,50;6654,92;;62,50;BE12 3456 7890 1234;KREDBEBB;TELENET BV;Liersesteenweg 4 2800 Mechelen;;klantnummer 0123456
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026081;14/08/2026;"EUROPESE DOMICILIERING VAN LIANTIS VZW SOCIALE BIJDRAGEN KW3";14/08/2026;-387,25;6267,67;;387,25;BE45 6789 0123 4567;KREDBEBB;LIANTIS VZW;Willebroekkaai 37 1000 Brussel;+++123/4567/89014+++;
BE68 5390 0754 7034;Domiciliëring;MILE TIELENS;EUR;2026081;19/08/2026;"EUROPESE DOMICILIERING VAN DKV BELGIUM NV POLIS 987654";19/08/2026;-145,00;6122,67;;145,00;BE49 8765 4321 0987;BBRUBEBB;DKV BELGIUM NV;Loksumstraat 25 1000 Brussel;+++987/6543/21100+++;
